iter	RMSE
143	10.6644361
144	10.65711106
145	10.65113882
146	10.64514206
147	10.63899977
148	10.63121896
149	10.62580594
150	10.61973168
151	10.6130602
152	10.6036447
153	10.59727667
154	10.58967481
155	10.58476891
156	10.57668121
157	10.57222765
158	10.56687247
159	10.55793506
160	10.55378387
161	10.54787246
162	10.54396583
163	10.53854489
164	10.53492786
165	10.5308513
166	10.52305069
167	10.51676043
168	10.51126371
169	10.50356637
170	10.4985629
171	10.49285728
172	10.48782971
173	10.48299154
174	10.47735413
175	10.47052525
176	10.46638751
177	10.46137268
178	10.45666218
179	10.45069626
180	10.4451903
181	10.43999791
182	10.43582787
183	10.43274983
184	10.42286336
185	10.41955715
186	10.41550832
187	10.40675284
188	10.40364475
189	10.39956813
190	10.3951816
191	10.39141083
192	10.3873555
193	10.38239299
194	10.37257603
195	10.36867785
196	10.36303167
197	10.35927813
198	10.35416635
199	10.34964756
200	10.34461643
201	10.33864166
202	10.33262359
203	10.32527141
204	10.31881146
205	10.31290706
206	10.3086313
207	10.30362592
208	10.29715449
209	10.29408794
210	10.28921155
211	10.28360299
212	10.27993301
213	10.27501798
214	10.26976539
215	10.26651171
216	10.26410175
217	10.26144435
218	10.25636844
219	10.25070813
220	10.24513945
221	10.23734701
222	10.2288888
223	10.22468591
224	10.21867901
225	10.2140981
226	10.21075748
227	10.20677562
228	10.20211482
229	10.19775083
230	10.19425829
231	10.19012926
232	10.18515736
233	10.18191575
234	10.17867127
235	10.17572071
236	10.17099102
237	10.16506156
238	10.16104227
239	10.15676201
240	10.15222976
241	10.14823469
242	10.14442015
243	10.14050984
244	10.13470049
245	10.13185782
246	10.12900473
247	10.12358908
248	10.11569075
249	10.11243813
250	10.10750812
251	10.10248492
252	10.09700677
253	10.09188174
254	10.08587771
255	10.08084918
256	10.07669617
257	10.07326553
258	10.06705408
259	10.06278062
260	10.05933573
261	10.05701336
262	10.05209367
263	10.04429384
264	10.03964202
265	10.03515095
266	10.03169635
267	10.02921421
268	10.0262246
269	10.01977144
270	10.01653284
271	10.01157515
272	10.00728738
273	10.00225002
274	9.997270652
275	9.994556022
276	9.992356433
277	9.98800695
278	9.984327632
279	9.979128794
280	9.97429745
281	9.970945303
282	9.967253966
283	9.96324626
284	9.959060503
285	9.953852283
286	9.95155049
287	9.946302073
288	9.941860536
289	9.938946987
290	9.935524536
291	9.933247463
292	9.929375311
293	9.925335389
294	9.919466525
295	9.913671019
296	9.907474182
297	9.90518082
298	9.901638599
299	9.896036684
300	9.893239759
301	9.885806926
302	9.881408375
303	9.876661851
304	9.873489108
305	9.867968843
306	9.864088466
307	9.858296927
308	9.854697388
309	9.851146254
310	9.848604569
311	9.844517939
312	9.839385729
313	9.835063411
314	9.828178089
315	9.824771076
316	9.819234709
317	9.816226607
318	9.812240795
319	9.809015086
320	9.806371219
321	9.801734682
322	9.793719641
323	9.789505031
324	9.785781359
325	9.781140721
326	9.775383751
327	9.771797165
328	9.76771666
329	9.763490277
330	9.759796474
331	9.755042201
332	9.75104449
333	9.746884542
334	9.743011168
335	9.73891537
336	9.732569692
337	9.728167714
338	9.723227236
339	9.719912356
340	9.714784267
341	9.713458787
342	9.711861834
343	9.709484685
344	9.704026607
345	9.698131991
346	9.693862521
347	9.689704828
348	9.685696863
349	9.681845809
350	9.677810843
351	9.675354972
352	9.672577288
353	9.669420148
354	9.66532804
355	9.661175806
356	9.6575337
357	9.653229092
358	9.648886965
359	9.644312413
360	9.638459076
361	9.635848108
362	9.627412154
363	9.620321411
364	9.616206044
365	9.610904683
366	9.606666758
367	9.601916963
368	9.597453407
369	9.593346473
370	9.590433182
371	9.587292508
372	9.584247757
373	9.580501928
374	9.577173817
375	9.573641037
376	9.56952783
377	9.564675996
378	9.560944362
379	9.555074749
380	9.550318853
381	9.547234392
382	9.542706512
383	9.53760902
384	9.532465579
385	9.530511966
386	9.525981191
387	9.523381772
388	9.519246963
389	9.514986489
390	9.509479032
391	9.505626852
392	9.50220037
393	9.498920874
394	9.495197462
395	9.489814508
396	9.486989683
397	9.482293219
398	9.479954596
399	9.476702118
